ORDER_ID,ORDER_DETAILS_SUP
16646,NULL
16647,NULL
16648,NULL
16649,"[{""mQty"": ""8"", ""mName"": ""Onion"", ""Cat_id"": ""2"", ""mPrice"": ""20"", ""mItemCode"": ""285"", ""mBillingParams"": ""kg""}, {""mQty"": ""5"", ""mName"": ""Potato"", ""Cat_id"": ""2"", ""mPrice"": ""28"", ""mItemCode"": ""286"", ""mBillingParams"": ""kg""}, {""mQty"": ""6"", ""mName"": ""Garlic (peeled)"", ""Cat_id"": ""2"", ""mPrice"": ""65"", ""mItemCode"": ""287"", ""mBillingParams"": ""kg""}, {""mQty"": ""2"", ""mName"": ""Ginger"", ""Cat_id"": ""2"", ""mPrice"": ""85"", ""mItemCode"": ""289"", ""mBillingParams"": ""kg""}, {""mQty"": ""6"", ""mName"": ""Tomato"", ""Cat_id"": ""2"", ""mPrice"": ""20"", ""mItemCode"": ""291"", ""mBillingParams"": ""kg""}, {""mQty"": ""2"", ""mName"": ""Green Chilly"", ""Cat_id"": ""2"", ""mPrice"": ""55"", ""mItemCode"": ""293"", ""mBillingParams"": ""kg""}, {""mQty"": ""2"", ""mName"": ""Capsicum"", ""Cat_id"": ""2"", ""mPrice"": ""34"", ""mItemCode"": ""294"", ""mBillingParams"": ""kg""}, {""mQty"": ""2"", ""mName"": ""Carrot"", ""Cat_id"": ""2"", ""mPrice"": ""34"", ""mItemCode"": ""297"", ""mBillingParams"": ""kg""}, {""mQty"": ""2"", ""mName"": ""Cauliflower"", ""Cat_id"": ""2"", ""mPrice"": ""48"", ""mItemCode"": ""298"", ""mBillingParams"": ""kg""}, {""mQty"": ""15"", ""mName"": ""Cabbage"", ""Cat_id"": ""2"", ""mPrice"": ""18"", ""mItemCode"": ""299"", ""mBillingParams"": ""kg""}, {""mQty"": ""8"", ""mName"": ""Coriander (Dhaniya)"", ""Cat_id"": ""2"", ""mPrice"": ""17"", ""mItemCode"": ""302"", ""mBillingParams"": ""bu""}, {""mQty"": ""8"", ""mName"": ""Spring Onion"", ""Cat_id"": ""2"", ""mPrice"": ""14"", ""mItemCode"": ""304"", ""mBillingParams"": ""bu""}, {""mQty"": ""2"", ""mName"": ""Spinach (Palak)"", ""Cat_id"": ""2"", ""mPrice"": ""15"", ""mItemCode"": ""305"", ""mBillingParams"": ""bu""}, {""mQty"": ""0.5"", ""mName"": ""Baby Corn"", ""Cat_id"": ""1"", ""mPrice"": ""85"", ""mItemCode"": ""308"", ""mBillingParams"": ""kg""}, {""mQty"": ""1"", ""mName"": ""Curry leaves"", ""Cat_id"": ""2"", ""mPrice"": ""15"", ""mItemCode"": ""314"", ""mBillingParams"": ""bu""}, {""mQty"": ""0.5"", ""mName"": ""French Beans"", ""Cat_id"": ""2"", ""mPrice"": ""44"", ""mItemCode"": ""318"", ""mBillingParams"": ""kg""}, {""mQty"": ""0.5"", ""mName"": ""Chinese Sprouts"", ""Cat_id"": ""1"", ""mPrice"": ""120"", ""mItemCode"": ""326"", ""mBillingParams"": ""kg""}, {""mQty"": ""1"", ""mName"": ""Mushroom"", ""Cat_id"": ""1"", ""mPrice"": ""135"", ""mItemCode"": ""332"", ""mBillingParams"": ""kg""}, {""mQty"": ""0.5"", ""mName"": ""Broccoli"", ""Cat_id"": ""1"", ""mPrice"": ""190"", ""mItemCode"": ""334"", ""mBillingParams"": ""kg""}, {""mQty"": ""0.5"", ""mName"": ""Red Capsicum"", ""Cat_id"": ""1"", ""mPrice"": ""90"", ""mItemCode"": ""336"", ""mBillingParams"": ""kg""}, {""mQty"": ""0.5"", ""mName"": ""Yellow Capsicum"", ""Cat_id"": ""1"", ""mPrice"": ""90"", ""mItemCode"": ""337"", ""mBillingParams"": ""kg""}, {""mQty"": ""0.5"", ""mName"": ""Zucchini (Green)"", ""Cat_id"": ""1"", ""mPrice"": ""70"", ""mItemCode"": ""338"", ""mBillingParams"": ""kg""}, {""mQty"": ""0.5"", ""mName"": ""Chinese Cabbage"", ""Cat_id"": ""1"", ""mPrice"": ""90"", ""mItemCode"": ""339"", ""mBillingParams"": ""kg""}, {""mQty"": ""0.5"", ""mName"": ""Bok Choy"", ""Cat_id"": ""1"", ""mPrice"": ""90"", ""mItemCode"": ""340"", ""mBillingParams"": ""kg""}, {""mQty"": ""0.5"", ""mName"": ""Zucchini (Yellow)"", ""Cat_id"": ""1"", ""mPrice"": ""120"", ""mItemCode"": ""348"", ""mBillingParams"": ""kg""}, {""mQty"": ""1"", ""mName"": ""Parval"", ""Cat_id"": ""2"", ""mPrice"": ""65"", ""mItemCode"": ""377"", ""mBillingParams"": ""kg""}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}]"
16650,NULL
16651,NULL
16652,NULL
16653,NULL
16654,NULL
16655,NULL
16656,NULL
16657,NULL
16660,"[{""mQty"": ""1"", ""mName"": ""American Corn"", ""Cat_id"": ""1"", ""mPrice"": ""68"", ""mItemCode"": ""327"", ""mBillingParams"": ""kg""}, {""mQty"": ""2"", ""mName"": ""Capsicum"", ""Cat_id"": ""2"", ""mPrice"": ""34"", ""mItemCode"": ""294"", ""mBillingParams"": ""kg""}, {""mQty"": ""2"", ""mName"": ""Red Capsicum"", ""Cat_id"": ""1"", ""mPrice"": ""80"", ""mItemCode"": ""336"", ""mBillingParams"": ""kg""}, {""mQty"": ""2"", ""mName"": ""Yellow Capsicum"", ""Cat_id"": ""1"", ""mPrice"": ""80"", ""mItemCode"": ""337"", ""mBillingParams"": ""kg""}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}, {""mQty"": """", ""mName"": """", ""Cat_id"": """", ""mPrice"": """", ""mItemCode"": """", ""mBillingParams"": """"}]"
